ID,Titulo,ISBN,Autor,Sinopsis,Genero,Editorial,Numero de paginas,Serie,fecha de publicación,Precio
170,El sabueso de los Baskerville,9788420665474,Arthur Conan Doyle,Holmes investiga una maldición familiar ligada a un perro espectral.,Misterio,Alianza,240,Sherlock Holmes,1902-04-01,8.50
171,Estudio en escarlata,9788420665450,Arthur Conan Doyle,La primera aventura donde se conocen Watson y Sherlock Holmes.,Misterio,Alianza,192,Sherlock Holmes,1887-11-01,7.95
172,El signo de los cuatro,9788420665467,Arthur Conan Doyle,Un misterio que involucra tesoros robados y promesas rotas.,Misterio,Alianza,176,Sherlock Holmes,1890-02-01,7.95
173,Las aventuras de Huckleberry Finn,9788491051541,Mark Twain,Un joven y un esclavo fugitivo viajan bajando el Misisipi.,Aventuras,Debolsillo,384,Tom Sawyer,1884-12-10,9.95
174,Un yanki en la corte del rey Arturo,9788420665511,Mark Twain,Un hombre del siglo XIX viaja en el tiempo a la Inglaterra medieval.,Sátira,Alianza,416,No,1889-12-10,11.00
175,El príncipe y el mendigo,9788467035599,Mark Twain,Dos niños idénticos de clases opuestas intercambian sus vidas.,Aventuras,Espasa,288,No,1881-12-01,9.90
176,Grandes esperanzas,9788415618751,Charles Dickens,Un huérfano asciende socialmente gracias a un benefactor secreto.,Clásico,Alba Editorial,608,No,1861-08-01,14.50
177,Oliver Twist,9788415618164,Charles Dickens,Las desventuras de un niño huérfano en los bajos fondos de Londres.,Clásico,Alba Editorial,544,No,1838-11-01,13.50
178,Historia de dos ciudades,9788491051404,Charles Dickens,Un emotivo relato cruzado entre Londres y el París revolucionario.,Clásico,Debolsillo,448,No,1859-11-26,9.95
179,Canción de Navidad,9788420665412,Charles Dickens,Un viejo avaro es visitado por tres espíritus navideños.,Fábula,Alianza,144,No,1843-12-19,6.95
180,David Copperfield,9788415618621,Charles Dickens,El accidentado paso de la infancia a la madurez de su protagonista.,Clásico,Alba Editorial,928,No,1850-11-01,18.00
181,Jane Eyre,9788415618423,Charlotte Brontë,Una institutriz se enamora de su misterioso patrón en una mansión.,Clásico,Alba Editorial,600,No,1847-10-16,14.00
182,El profesor,9788416011421,Charlotte Brontë,Un joven maestro busca abrirse camino y hallar amor en Bruselas.,Clásico,Alba Editorial,320,No,1857-01-01,12.00
183,Villette,9788415618690,Charlotte Brontë,Una mujer sin fortuna enseña en un internado de un país extranjero.,Clásico,Alba Editorial,688,No,1853-01-28,15.00
184,La letra escarlata,9788420665498,Nathaniel Hawthorne,Una mujer es marginada por adulterio en una sociedad puritana.,Clásico,Alba Editorial,312,No,1850-03-16,11.50
185,La casa de los siete tejados,9788437624136,Nathaniel Hawthorne,Una antigua mansión carga con una oscura maldición generacional.,Misterio,Cátedra,416,No,1851-04-09,13.50
186,Los papeles póstumos del Club Pickwick,9788415618256,Charles Dickens,Las cómicas desventuras de un grupo de caballeros ingleses.,Clásico,Alba Editorial,936,No,1837-11-01,19.00
187,Robinson Crusoe,9788491051527,Daniel Defoe,Un náufrago lucha por sobrevivir durante décadas en una isla desértica.,Aventuras,Debolsillo,352,No,1719-04-25,8.95
188,Moll Flanders,9788420651163,Daniel Defoe,Las peripecias de una mujer que recurre al crimen para sobrevivir.,Clásico,Alianza,448,No,1722-01-27,10.50
189,Los viajes de Gulliver,9788491051534,Jonathan Swift,Los viajes satíricos de un cirujano a extrañas tierras lejanas.,Sátira,Debolsillo,352,No,1726-10-28,8.95
190,Tess la de los d'Urberville,9788415618539,Thomas Hardy,La trágica vida de una joven campesina víctima de las convenciones.,Clásico,Alba Editorial,576,No,1891-11-01,14.50
191,Lejos del mundanal ruido,9788415618171,Thomas Hardy,Una mujer independiente debe elegir entre tres pretendientes distintos.,Romance Clásico,Alba Editorial,496,No,1874-11-01,13.50
192,Jude el oscuro,9788415618614,Thomas Hardy,Un joven de clase obrera sueña con una educación universitaria.,Clásico,Alba Editorial,560,No,1895-11-01,14.50
193,El alcalde de Casterbridge,9788437619149,Thomas Hardy,Un hombre vende a su familia borracho y luego busca redimirse.,Clásico,Cátedra,464,No,1886-05-01,12.95
194,La feria de las vanidades,9788415618409,William Thackeray,Dos mujeres de orígenes distintos buscan posicionarse en la sociedad.,Clásico,Alba Editorial,928,No,1848-01-01,19.50
195,Ivanhoe,9788467035551,Walter Scott,Un noble caballero sajón regresa de las Cruzadas para reclamar su amor.,Novela Histórica,Espasa,544,No,1819-12-20,11.90
196,Rob Roy,9788437611846,Walter Scott,Un joven se ve envuelto en las rebeliones jacobitas en Escocia.,Aventuras,Cátedra,528,No,1817-12-31,14.50
197,Sentido y sensibilidad,9788415618546,Jane Austen,El contraste de las personalidades de dos hermanas ante el amor.,Romance Clásico,Alba Editorial,416,No,1811-10-30,12.50
198,Mansfield Park,9788415618430,Jane Austen,Una joven humilde se cría con sus tíos ricos aprendiendo virtudes.,Romance Clásico,Alba Editorial,512,No,1814-05-09,13.50
199,Emma,9788415618188,Jane Austen,Una joven rica juega a ser celestina provocando enredos amorosos.,Romance Clásico,Alba Editorial,544,No,1815-12-23,13.50
200,Persuasión,9788415618201,Jane Austen,Una mujer reencuentra al amor de su vida tras rechazarlo años atrás.,Romance Clásico,Alba Editorial,320,No,1817-12-20,11.50
